number,bestOf,title,earwolfUrl,guests,live
600,False,Patrick McMahon Returns: A Story About Johnny McGory,https://www.earwolf.com/episode/patrick-mcmahon-returns-a-story-about-johnny-mcgory/,"['Jason Mantzoukas', 'Andy Daly']",False
599,False,10th Anniversary Part 2,https://www.earwolf.com/episode/10th-anniversary-part-2/,"['Thomas Middleditch', 'Adam Scott', 'Chelsea Peretti', 'Weird Al Yankovic', 'Ben Schwartz', 'Bobby Moynihan', 'Brendon Small', 'Drew Tarver', 'Horatio Sanz', 'James Adomian']",False
599,False,10th Anniversary Part 1,https://www.earwolf.com/episode/10th-anniversary-part-1/,"['Jason Mantzoukas', 'Andy Daly', 'Paul F. Tompkins', 'Carl Tart', 'Ego Nwodim', 'Jessica McKenna', 'Jon Hamm', 'Lauren Lapkus', 'Madeline Walter', 'Matt Besser']",False
598,False,Secret Shopping with Motley Crue,https://www.earwolf.com/episode/secret-shopping-with-motley-crue/,"['Tim Robinson', 'Ryan Rosenberg', 'Natalie Palamides', 'Courtney Pauroso']",False
597,False,Simpson and Smith: Selling Stories,https://www.earwolf.com/episode/simpson-and-smith-selling-stories/,"['Baron Vaughn', 'Zac Oyama', 'Ify Nwadiwe']",False
596,False,Mr. Met and the Legitimate Witch,https://www.earwolf.com/episode/mr-met-legitimate-witch/,"['Griffin Newman', 'Paul F. Tompkins', 'Alison Rich']",False
595,False,Mother's Olive Oil,https://www.earwolf.com/episode/mothers-olive-oil/,"['Demi Adejuyigbe', 'Carl Tart', 'Alyssa Limperis']",False
594,False,Now It's Time For A Breakdown,https://www.earwolf.com/episode/now-its-time-for-a-breakdown/,"['Dan Mangan', 'Will Hines', 'Jon Mackey']",False
593,False,Get In The Way Gremlin,https://www.earwolf.com/episode/get-in-the-way-gremlin/,"['Natalie Morales', 'Jessica McKenna', 'Zeke Nicholson']",False
592,False,The PeeE Neurs,https://www.earwolf.com/episode/the-peee-neurs/,"['Langston Kerman', 'Ego Nwodim', 'Carl Tart']",False
591,False,UnbeWiebeble: Kayla Dickie Returns,https://www.earwolf.com/episode/unbewiebeble-kayla-dickie-returns/,"['Flula  Borg', 'Shaun Diston', 'Lily Sullivan', 'Tim Baltz']",False
590,False,Bread Mop,https://www.earwolf.com/episode/bread-mop/,"['Andrea Savage', 'Matt Besser', 'Madeline Walter']",False
589,False,Werewolfwithal,https://www.earwolf.com/episode/werewolfwithal/,"['Patton Oswalt', 'Andy Daly']",False
588,False,Lil' Choices,https://www.earwolf.com/episode/lil-choices/,"['Jason Mantzoukas', 'Thomas Middleditch']",False
587,False,No Relation,https://www.earwolf.com/episode/no-relation/,"['Maya Erskine', 'Anna Konkle', 'Dan Lippert', 'Ronnie Adrian']",False
586,False,Butt First,https://www.earwolf.com/episode/butt-first/,"['Rhea Butcher', 'Colton Dunn', 'Ryan Gaul']",False
585,False,Lemons Is the New Black,https://www.earwolf.com/episode/lemons-is-the-new-black/,"['Matt Walsh', 'Lauren Lapkus', 'Dhruv Uday Singh']",False
584,False,Weirdamony Alimony Tony,https://www.earwolf.com/episode/weirdamony-alimony-tony/,"['John Hodgman', 'Paul F. Tompkins', 'Will Hines']",False
583,False,Batman Nine-Nine,https://www.earwolf.com/episode/batman-nine-nine/,"['Chelsea Peretti', 'Drew Tarver', 'John Gemberling']",False
582,False,Practice Sacks,https://www.earwolf.com/episode/practice-sacks/,"['Sam Richardson', 'Joe Wengert', 'Mary Sohn']",False
581,False,Thickest Oompa Loompa,https://www.earwolf.com/episode/thickest-oompa-loompa/,"['Matt Ingebretson', 'Jake Weisman', 'Ego Nwodim', 'Mary Scheer']",False
580,False,Legend of Mr. Met,https://www.earwolf.com/episode/legend-of-mr-met/,"['Ben Schwartz', 'Horatio Sanz']",False
2018.4,True,Best of 2018 Pt. 4,https://www.earwolf.com/episode/best-of-2018-pt-4/,['Paul F. Tompkins'],False
2018.3,True,Best of 2018 Pt. 3,https://www.earwolf.com/episode/best-of-2018-pt-3/,['Paul F. Tompkins'],False
2018.2,True,Best of 2018 Pt. 2,https://www.earwolf.com/episode/best-of-2018-pt-2/,['Paul F. Tompkins'],False
2018.1,True,Best of 2018 Pt. 1,https://www.earwolf.com/episode/best-of-2018-pt-1/,['Paul F. Tompkins'],False
579,False,2018 Holiday Spectacular,https://www.earwolf.com/episode/2018-holiday-spectacular/,"['Jason Mantzoukas', 'Jessica McKenna', 'Jon Gabrus', 'Lauren Lapkus', 'Mike Hanford', 'Nick Wiger', 'Paul F. Tompkins', 'Ryan Gaul', 'Shaun Diston', 'Thomas Middleditch']",False
578,False,Right Off The Batman,https://www.earwolf.com/episode/right-off-the-batman/,"['Paul F. Tompkins', 'Bobby Moynihan']",False
577,False,Miss-pered,https://www.earwolf.com/episode/miss-pered/,"['Flula  Borg', 'Shaun Diston', 'Lily Sullivan']",False
576,False,What the Sound Made,https://www.earwolf.com/episode/what-the-sound-made/,"['Andy Daly', 'Tim Baltz']",False
575,False,That Dazzles Me Already,https://www.earwolf.com/episode/that-dazzles-me-already/,"[""Don't Stop Or We'll Die"", 'Mike Hanford', 'Zac Oyama']",False
574,False,Conan Never Goes Outside,https://www.earwolf.com/episode/conan-never-goes-outside/,"[""Conan O'Brien"", 'Paul F. Tompkins', 'Lauren Lapkus', 'Mary Holland']",False
573,False,Alfred Molina Flair,https://www.earwolf.com/episode/alfred-molina-flair/,"[None, 'Alana Johnston', 'Ben Rodgers']",False
572,False,Changerous,https://www.earwolf.com/episode/changerous/,"['Jason Mantzoukas', 'Paul F. Tompkins']",False
571,False,Rope Beats Rock,https://www.earwolf.com/episode/rope-beats-rock/,"['Jon Gabrus', 'Betsy Sodaro', 'Will Hines']",False
570,False,The Dirty 27,https://www.earwolf.com/episode/the-dirty-27/,"['David Wain', 'Thomas Middleditch', 'Shaun Diston']",False
569,False,"Dull Knives, Sturdy Eyes",https://www.earwolf.com/episode/dull-knives-sturdy-eyes/,"['Emily Heller', 'Drew Tarver', 'Dan Lippert', 'Ryan Rosenberg', 'Jon Mackey']",False
568,False,Literal Web,https://www.earwolf.com/episode/literal-web/,"['Ike Barinholtz', 'Dhruv Uday Singh', 'Mary Sohn']",False
567,False,Threedom Trailer,https://www.earwolf.com/episode/threedom-trailer-2/,"['Lauren Lapkus', 'Paul F. Tompkins']",False
567,False,Midnight Junket,https://www.earwolf.com/episode/midnight-junket/,"['Lennon Parham', 'Nick Kroll', 'Gil Ozeri']",False
566,False,The Calvins Triplets,https://www.earwolf.com/episode/the-calvins-triplets/,"['Taran Killam', 'Paul Brittain', 'Ryan Gaul']",False
565,False,C'mon Bake Bake,https://www.earwolf.com/episode/cmon-bake-bake/,"['Jason Mantzoukas', 'Mary Holland', ""D'Arcy Carden""]",False
564,False,Svelte Scale,https://www.earwolf.com/episode/svelte-scale/,"['Zach Galifianakis', 'Andy Daly', 'Nicole Parker']",False
563,False,CBB BONUS: The Andy Daly Podcast Pilot Project Returns,https://www.earwolf.com/episode/cbb-bonus-the-andy-daly-podcast-pilot-project-returns/,"['Andy Daly', 'Matt Gourley']",False
563,False,Where You Come From with CHVRCHES,https://www.earwolf.com/episode/where-you-come-from-with-chvrches/,"['CHVRCHES', 'Edi Patterson', 'Holly Prazoff']",False
562,False,They'ven't Yet,https://www.earwolf.com/episode/theyvent-yet/,"['Max Silvestri', 'Matt Besser', 'Joe Wengert']",False
561,False,Poke Mitzvah,https://www.earwolf.com/episode/poke-mitzvah/,"['Andy Richter', 'Zach Reino', 'Tawny Newsome']",False
560,False,1-800 Jingles,https://www.earwolf.com/episode/1-800-jingles/,"['Ben Schwartz', 'Jessica McKenna', 'Will Hines']",False
559,False,Jen and Berry's Frozen Ice,https://www.earwolf.com/episode/jen-and-berrys-frozen-ice/,"['Bobby Moynihan', 'Eugene Cordero']",False
558,False,Ship of Love,https://www.earwolf.com/episode/ship-of-love/,"['Casey Wilson', 'Drew Tarver', 'Zac Oyama']",False
557,False,Word Down,https://www.earwolf.com/episode/word-down/,"['Carl Tart', 'Madeline Walter']",False
556,False,Tips 'n' Tricks,https://www.earwolf.com/episode/tips-n-tricks/,"['Kristian Bruun', 'John Gemberling', 'Gil Ozeri', 'Zeke Nicholson']",False
555,False,What A Wonderful WaterWorld,https://www.earwolf.com/episode/what-a-wonderful-waterworld/,"['Cameron Esposito', 'Paul F. Tompkins', 'Matt Gourley']",False
554,False,Educainment Squad,https://www.earwolf.com/episode/educainment-squad/,"['Horatio Sanz', 'Thomas Middleditch']",False
553,False,Let's Write On The White,https://www.earwolf.com/episode/lets-write-on-the-white/,"['Lakeith Stanfield', 'Ego Nwodim', 'Mary Sohn']",False
552,False,"Hey, Keep Readin'",https://www.earwolf.com/episode/hey-keep-readin/,"['Weird Al Yankovic', 'Ryan Gaul', 'Edi Patterson']",False
551,False,New to the Wax with The Sloppy Boys,https://www.earwolf.com/episode/new-to-the-wax-with-the-sloppy-boys/,"['Jon Gabrus', 'Shaun Diston', 'Mike Hanford', 'Tim Kalpakis', 'Jefferson Dutton']",False
550,False,Cheesing Out The Wave D-Hole,https://www.earwolf.com/episode/cheesing-out-the-wave-d-hole/,"['Jason Mantzoukas', 'Andy Daly']",False
549,False,Prom Womptacular,https://www.earwolf.com/episode/prom-womptacular/,"['Jessica St. Clair', 'Lennon Parham', 'Brian Huskey', 'Paul Scheer']",False
548,False,Know What I'm Saying?,https://www.earwolf.com/episode/know-what-im-saying/,"['Gillian Jacobs', 'Paul F. Tompkins', 'Lamar Woods', 'Tawny Newsome']",False
547,False,Johnny Pacquiao,https://www.earwolf.com/episode/johnny-pacquiao/,"['John Mulaney', 'Seth Morris', 'Betsy Sodaro']",False
546,False,69 Show Pitches,https://www.earwolf.com/episode/69-show-pitches/,"['Sean Clements', 'Hayes Davenport']",False
545,False,Casual High Technology with Wajatta,https://www.earwolf.com/episode/casual-high-technology-with-wajatta/,"['Reggie Watts', 'John Tejada', 'Jeremy Rowley', 'Alison Rich']",False
544,False,On Script,https://www.earwolf.com/episode/on-script/,"['Michael Ian Black', 'Nick Thune', 'Zac Oyama', 'Holly Prazoff']",False
543,False,The 9th Anniversary Show!,https://www.earwolf.com/episode/the-9th-anniversary-show/,"['Sean Clements', 'Hayes Davenport', 'Lauren Lapkus', 'Paul F. Tompkins', 'Shaun Diston', 'Zeke Nicholson', 'Ego Nwodim', 'Madeline Walter']",False
542,False,Big Ben Minus Ten,https://www.earwolf.com/episode/big-ben-minus-ten/,"['Phoebe Robinson', 'Madeline Walter', 'Ronnie Adrian']",False
541,False,Is That A Joke?,https://www.earwolf.com/episode/is-that-a-joke/,"['Thomas Middleditch', 'Ben Schwartz']",False
540,False,Low Five,https://www.earwolf.com/episode/low-five/,"['Jon Hamm', 'Paul F. Tompkins', 'Jessica McKenna', 'Zach Reino']",False
539,False,The Pointing Sisters,https://www.earwolf.com/episode/the-pointing-sisters/,"[None, 'Neil Campbell', ""D'Arcy Carden""]",False
538,False,This Was a Mistake,https://www.earwolf.com/episode/this-was-a-mistake-2/,[],False
