releaseDate,number,guests,bestOf,live
2018-03-12,535,"[""Peter Serafinowicz"", ""Griffin Newman"", ""Shaun Diston"", ""Natalie Palamides"", ""Courtney Pauroso""]",False,False
2018-03-05,534,"[""Paul Rust"", ""Claudia O'Doherty"", ""Carl Tart"", ""Ego Nwodim""]",False,False
2018-02-26,533,"[""'Weird Al' Yankovic"", ""Mary Holland"", ""Mano Agapion""]",False,False
2018-02-22,,[],False,False
2018-02-20,532,"[""Stephanie Wittels Wach"", ""Will Hines"", ""Paul F. Tompkins"", ""Tawny Newsome""]",False,False
2018-02-12,531,"[""Todd Glass"", ""James Adomian"", ""Nicole Byer""]",False,False
2018-02-05,530,"[""Whitney Cummings"", ""Jessica McKenna"", ""Marques Ray""]",False,False
2018-01-30,529,"[""Patton Oswalt"", ""Andy Daly"", ""Mary Sohn""]",False,False
2018-01-23,528,"[""Natasha Leggero"", ""Riki Lindhome"", ""Zeke Nicholson"", ""Drew Tarver""]",False,False
2018-01-16,527,"[""Ego Nwodim"", ""Shaun Diston"", ""Alison Rich""]",False,False
2018-01-09,526,"[""Ben Schwartz"", ""Horatio Sanz""]",False,False
2018-01-05,2017.4,[],True,False
2018-01-02,2017.3,[],True,False
2017-12-29,2017.2,[],True,False
2017-12-26,2017.1,[],True,False
2017-12-19,525,"[""Xmas: Mister Heavenly"", ""Lauren Lapkus"", ""Jon Gabrus"", ""Jason Mantzoukas"", ""Mike Hanford"", ""Paul F. Tompkins"", ""Carl Tart"", ""James Adomian"", ""Tawny Newsome"", ""Drew Tarver"", ""Jeremy Rowley"", ""Neil Campbell""]",False,False
2017-12-12,524,"[""Neil Patrick Harris"", ""Paul F. Tompkins"", ""Shaun Diston""]",False,False
2017-12-05,523,"[""Jimmy Pardo"", ""Drew Tarver"", ""Ryan Rosenberg"", ""Jon Mackey"", ""Dan Lippert""]",False,False
2017-11-28,522,"[""Sarah Silverman"", ""Madeline Walter"", ""Ego Nwodim"", ""Paul F. Tompkins""]",False,False
2017-11-21,521,"[""John Hodgman"", ""Jon Gabrus"", ""Lauren Lapkus"", ""D\u2019Arcy Carden""]",False,False
2017-11-17,520,"[""Rob Huebel"", ""Will Hines"", ""Alana Johnston""]",False,False
2017-11-14,519,"[""John Early"", ""Carl Tart"", ""Zeke Nicholson""]",False,False
2017-11-07,518,"[""Jason Mantzoukas"", ""Andy Daly""]",False,False
2017-10-31,517,"[""The National"", ""Brendon Small"", ""Jessica McKenna""]",False,False
2017-10-27,516,"[""Ben Schwartz""]",False,False
2017-10-24,515,"[""Halloween"", ""Brett Gelman"", ""Jon Daly"", ""Allan McLeod"", ""Natalie Palamides"", ""Nick Wiger"", ""Caroline Anderson""]",False,False
2017-10-17,514,"[""Taran Killam"", ""Paul Brittain"", ""Ryan Gaul""]",False,False
2017-10-13,513,"[""Patton Oswalt"", ""Drew Tarver"", ""Betsy Sodaro""]",False,False
2017-10-10,512,"[""Bobby Moynihan"", ""Paul F. Tompkins""]",False,False
2017-10-03,511,"[""Nick Kroll"", ""Jason Mantzoukas"", ""Seth Morris""]",False,False
2017-09-26,510,"[""Andy Samberg"", ""Paul F. Tompkins"", ""Drew Tarver""]",False,False
2017-09-19,509,"[""Tig Notaro"", ""Lauren Lapkus"", ""Mary Holland"", ""Erin Whitehead""]",False,False
2017-09-12,508,"[""Nathan Fielder"", ""Betsy Sodaro"", ""Will Hines""]",False,False
2017-09-05,507,"[""Cameron Esposito"", ""Rhea Butcher"", ""Paul F. Tompkins"", ""Tawny Newsome""]",False,False
2017-08-29,506,"[""Chris Gethard"", ""Mike Hanford"", ""Madeline Walter""]",False,False
2017-08-22,505,"[""David Wain"", ""Dan Wilson"", ""Jordan Black"", ""Tim Baltz""]",False,False
2017-08-18,504,"[""Brett Gelman""]",False,False
2017-08-15,503,"[""Andy Richter"", ""Alison Rich"", ""John Gemberling""]",False,False
2017-08-08,502,"[""Joe Mande"", ""James Adomian"", ""Will Hines""]",False,False
2017-08-01,501,"[""Manchester Orchestra"", ""Jessica McKenna"", ""Zach Reino""]",False,False
2017-07-25,500,"[""Nick Kroll"", ""Jason Mantzoukas"", ""Lauren Lapkus"", ""Jon Gabrus"", ""Paul F. Tompkins"", ""Mary Holland""]",False,False
2017-07-17,499,"[""Kyle Mooney"", ""Paul Rust"", ""Neil Campbell"", ""Fran Gillespie""]",False,False
2017-07-13,498,"[""Flula Borg"", ""Jeremy Rowley"", ""Brendon Small""]",False,False
2017-07-10,497,"[""Kumail Nanjiani"", ""Emily V. Gordon"", ""Horatio Sanz"", ""Eliza Skinner""]",False,False
2017-07-03,496,"[""Andrea Savage"", ""Jon Gabrus"", ""Will Hines"", ""Holly Prazoff""]",False,False
2017-06-29,495,"[""Jason Mantzoukas"", ""Mary Holland"", ""Tim Baltz""]",False,False
2017-06-26,494,"[""Jon Hamm"", ""Edgar Wright"", ""Paul F. Tompkins"", ""Jessica McKenna""]",False,False
2017-06-22,493,"[""Nick Kroll"", ""Anthony King"", ""Seth Morris""]",False,False
2017-06-19,492,"[""Jessica St. Clair"", ""Lennon Parham""]",False,False
2017-06-12,491,"[""Rory Scovel"", ""Mike Hanford"", ""D'Arcy Carden""]",False,False
2017-06-05,490,"[""Lucia Aniello"", ""Paul W. Downs"", ""Zeke Nicholson"", ""Carl Tart"", ""Lamar Woods""]",False,False
2017-05-29,489,"[""Kulap Vilaysack"", ""Paul F. Tompkins"", ""Tim Baltz"", ""Dan Ahdoot"", ""Mandell Maughan"", ""Eugene Cordero"", ""Tawny Newsome"", ""Drew Tarver""]",False,False
2017-05-22,488,"[""Al Madrigal"", ""Alana Johnston"", ""Alison Rich"", ""Natalie Palamides""]",False,False
2017-05-15,487,"[""Haley Joel Osment"", ""Ryan Gaul"", ""Lauren Lapkus"", ""Shaun Diston""]",False,False
2017-05-08,486,"[""Ron Funches"", ""Nick Thune"", ""Jon Daly"", ""Jordan Black""]",False,False
